"year","state","state_po","candidate","candidatevotes","totalvotes","party_simplified","voteshare","winner"
2008,"MISSOURI","MO","MCCAIN, JOHN",1445814,2925205,"REPUBLICAN",0.494260744118788,1
2008,"MISSOURI","MO","OBAMA, BARACK H.",1441911,2925205,"DEMOCRAT",0.492926478657051,0
2008,"MONTANA","MT","MCCAIN, JOHN",242763,490109,"REPUBLICAN",0.495324509445858,1
2008,"MONTANA","MT","OBAMA, BARACK H.",231667,490109,"DEMOCRAT",0.472684647700818,0
2008,"NEBRASKA","NE","MCCAIN, JOHN",452979,801281,"REPUBLICAN",0.565318533697916,1
2008,"NEBRASKA","NE","OBAMA, BARACK H.",333319,801281,"DEMOCRAT",0.415982657769247,0
2008,"NEVADA","NV","OBAMA, BARACK H.",533736,967848,"DEMOCRAT",0.551466759243187,1
2008,"NEVADA","NV","MCCAIN, JOHN",412827,967848,"REPUBLICAN",0.426541151089841,0
2008,"NEW HAMPSHIRE","NH","OBAMA, BARACK H.",384826,710970,"DEMOCRAT",0.541268970561346,1
2008,"NEW HAMPSHIRE","NH","MCCAIN, JOHN",316534,710970,"REPUBLICAN",0.445214284709622,0
2008,"NEW JERSEY","NJ","OBAMA, BARACK H.",2215422,3868237,"DEMOCRAT",0.57272137151886,1
2008,"NEW JERSEY","NJ","MCCAIN, JOHN",1613207,3868237,"REPUBLICAN",0.417039338592749,0
2008,"NEW MEXICO","NM","OBAMA, BARACK H.",472422,830158,"DEMOCRAT",0.569074802627934,1
2008,"NEW MEXICO","NM","MCCAIN, JOHN",346832,830158,"REPUBLICAN",0.417790348343327,0
2008,"NEW YORK","NY","OBAMA, BARACK H.",4645332,7722019,"DEMOCRAT",0.601569615407577,1
2008,"NEW YORK","NY","MCCAIN, JOHN",2418323,7722019,"REPUBLICAN",0.313172371111752,0
2008,"NORTH CAROLINA","NC","OBAMA, BARACK H.",2142651,4310851,"DEMOCRAT",0.497036663990474,1
2008,"NORTH CAROLINA","NC","MCCAIN, JOHN",2128474,4310851,"REPUBLICAN",0.493747986186486,0
2008,"NORTH DAKOTA","ND","MCCAIN, JOHN",168601,316621,"REPUBLICAN",0.53250100277619,1
2008,"NORTH DAKOTA","ND","OBAMA, BARACK H.",141278,316621,"DEMOCRAT",0.446205400147179,0
2008,"OHIO","OH","OBAMA, BARACK H.",2940044,5708350,"DEMOCRAT",0.515042700605254,1
2008,"OHIO","OH","MCCAIN, JOHN",2677820,5708350,"REPUBLICAN",0.469105783632749,0
2008,"OKLAHOMA","OK","MCCAIN, JOHN",960165,1462661,"REPUBLICAN",0.656450811226935,1
2008,"OKLAHOMA","OK","OBAMA, BARACK H.",502496,1462661,"DEMOCRAT",0.343549188773065,0
2008,"OREGON","OR","OBAMA, BARACK H.",1037291,1827864,"DEMOCRAT",0.567488062569206,1
2008,"OREGON","OR","MCCAIN, JOHN",738475,1827864,"REPUBLICAN",0.404009816922922,0
2008,"PENNSYLVANIA","PA","OBAMA, BARACK H.",3276363,6013272,"DEMOCRAT",0.544855280120374,1
2008,"PENNSYLVANIA","PA","MCCAIN, JOHN",2655885,6013272,"REPUBLICAN",0.441670524799144,0
2008,"RHODE ISLAND","RI","OBAMA, BARACK H.",296571,471766,"DEMOCRAT",0.628640046124562,1
2008,"RHODE ISLAND","RI","MCCAIN, JOHN",165391,471766,"REPUBLICAN",0.350578464747354,0
2008,"SOUTH CAROLINA","SC","MCCAIN, JOHN",1034896,1920969,"REPUBLICAN",0.538736439786379,1
2008,"SOUTH CAROLINA","SC","OBAMA, BARACK H.",862449,1920969,"DEMOCRAT",0.448965600173662,0
2008,"SOUTH DAKOTA","SD","MCCAIN, JOHN",203054,381975,"REPUBLICAN",0.531589763727993,1
2008,"SOUTH DAKOTA","SD","OBAMA, BARACK H.",170924,381975,"DEMOCRAT",0.447474311146017,0
2008,"TENNESSEE","TN","MCCAIN, JOHN",1479178,2599749,"REPUBLICAN",0.568969542828942,1
2008,"TENNESSEE","TN","OBAMA, BARACK H.",1087437,2599749,"DEMOCRAT",0.41828538062713,0
2008,"TEXAS","TX","MCCAIN, JOHN",4479328,8077795,"REPUBLICAN",0.554523604523264,1
